fiscalquartername,FiscalPeriod,FiscalYear,Company,Top_Most_BP,BusinessPartner,Item_Number,Item_Description,Ship_to_State,Ship_to_City,Quantity,Planned_Delivery_Date,Address_1,Address_2,Postal_Code,Budget_Qty,Forecast_Qty,Line_of_Business,domestic_or_international,planned_delivery_year,planned_delivery_month,planned_delivery_month_num,planned_delivery_day
"Fiscal Quarter 4, 2017",201711,2017,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Lemoore,10080,2017-08-24T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,25e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Aug,8,24
"Fiscal Quarter 4, 2017",201712,2017,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Los Banos,8800,2017-09-21T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,23e3,26250,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Sep,9,21
"Fiscal Quarter 4, 2018",201810,2018,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,4170,2018-07-26T00:00:00Z,25155 Ullrey Avenue,NA,95320,3600,3600,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jul,7,26
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Corcoran,17600,2014-09-26T00:00:00Z,710 Bainum Avenue,NA,93212-9603,1e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,26
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,WILLIAMS,5400,2014-09-11T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,11
"Fiscal Quarter 4, 2015",201510,2015,"613 (Merced, CA)",SUN BRITE FOODS INC (CUS200675),SUN BRITE FOODS INC (CUS200675),200187,BG 0012 APHM 3400/3400,ON,RUTHVEN,1e4,2015-07-22T00:00:00Z,2526 TALBOT ROAD,PO BOX 70,N0P 2G0,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2015,Jul,7,22
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Corcoran,-2700,2015-08-12T00:00:00Z,27905 Dairy Avenue,NA,93212,4160,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,12
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)","Mizkan Americas, Inc. (CUS009480)",Inactive R&B Foods (CUS011063),206160,BG 0220 APVHN 1700,CA,STOCKTON,60,2015-08-05T00:00:00Z,1400 East Waterloo Road,NA,95205,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,5
"Fiscal Quarter 4, 2015",201512,2015,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,WILLIAMS,7200,2015-09-25T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,15840,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Sep,9,25
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Los Banos,35840,2016-07-22T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,15e3,30800,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,22
"Fiscal Quarter 4, 2016",201611,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Los Banos,1500,2016-08-30T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,8e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Aug,8,30
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,12980,2016-09-20T00:00:00Z,8380 Pedrick Road,NA,95620-9606,13e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,20
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,WILLIAMS,800,2016-09-17T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,17
"Fiscal Quarter 4, 2017",201710,2017,"613 (Merced, CA)","Mizkan Americas, Inc. (CUS009480)","Mizkan America, Inc. (CUS011122)",206897,BG 0012 AVHV 1700/3 IN /INSRT,CA,STOCKTON,13040,2017-07-11T00:00:00Z,1400 East Waterloo Road,NA,95205,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jul,7,11
"Fiscal Quarter 4, 2017",201711,2017,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Dixon,6160,2017-08-17T00:00:00Z,8380 Pedrick Road,NA,95620-9606,7e3,7e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Aug,8,17
"Fiscal Quarter 4, 2017",201711,2017,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Hanford,1080,2017-08-23T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,4e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Aug,8,23
"Fiscal Quarter 4, 2017",201711,2017,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Corcoran,26400,2017-08-25T00:00:00Z,27905 Dairy Avenue,NA,93212,34e3,19250,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Aug,8,25
"Fiscal Quarter 4, 2015",201510,2015,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Corcoran,2700,2015-07-17T00:00:00Z,27905 Dairy Avenue,NA,93212,7920,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jul,7,17
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,17600,2015-08-28T00:00:00Z,8380 Pedrick Road,NA,95620-9606,12e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,28
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,420,2015-08-25T00:00:00Z,1357 Isett Avenue,NA,52761-4521,280,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,25
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Woodland,8338,2015-08-18T00:00:00Z,1376 Lemon Avenue,NA,95776-3369,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,18
"Fiscal Quarter 4, 2015",201512,2015,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",201929,BS 1200 APHM 1F 5100/INS&CAP,CA,STOCKTON,1100,2015-09-11T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,5e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Sep,9,11
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)","Mizkan Americas, Inc. (CUS009480)","Mizkan America, Inc. (CUS011122)",200358,BS 1200 APPHM 1F 1700/INS&CAP,CA,STOCKTON,12880,2016-07-28T00:00:00Z,1400 East Waterloo Road,NA,95205,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,28
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),261794,BS 1200 APVHN 1F 5100/INSRT,CA,Los Banos,23345,2016-07-21T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,6e4,22400,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,21
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,14040,2016-07-27T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,3e4,69120,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,27
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Lemoore,18480,2016-07-25T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,39e3,6720,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,25
"Fiscal Quarter 4, 2018",201810,2018,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Lemoore,28440,2018-07-24T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,41545,14640,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jul,7,24
"Fiscal Quarter 4, 2018",201811,2018,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Lemoore,22320,2018-08-23T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,36819,14640,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Aug,8,23
"Fiscal Quarter 4, 2018",201812,2018,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Dixon,3423,2018-09-25T00:00:00Z,8380 Pedrick Road,NA,95620-9606,6438,6550,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Sep,9,25
"Fiscal Quarter 4, 2018",201810,2018,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",200301,BS 0220 APHM 1F 800X/800,OH,OTTAWA,12e3,2018-07-12T00:00:00Z,232 East Jackson St.,NA,45875,0,12e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jul,7,12
"Fiscal Quarter 4, 2018",201810,2018,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Lemoore,29160,2018-07-19T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,8e3,10260,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jul,7,19
"Fiscal Quarter 4, 2018",201812,2018,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,7740,2018-09-26T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,53e3,24280,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Sep,9,26
"Fiscal Quarter 4, 2012",201210,2012,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Buttonwillow,17600,2012-07-26T00:00:00Z,36889 HWY 58,NA,93206-0515,23760,2e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Jul,7,26
"Fiscal Quarter 4, 2012",201210,2012,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Huron,4400,2012-07-16T00:00:00Z,19800 Gale Avenue,NA,93234,15840,7920,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Jul,7,16
"Fiscal Quarter 4, 2012",201210,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Los Banos,12880,2012-07-23T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,34e3,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Jul,7,23
"Fiscal Quarter 4, 2012",201210,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,19440,2012-07-27T00:00:00Z,13448 Volta Road,NA,93635-9785,31680,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Jul,7,27
"Fiscal Quarter 4, 2012",201211,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Los Banos,11,2012-08-24T00:00:00Z,13448 Volta Road,NA,93635-9785,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Aug,8,24
"Fiscal Quarter 4, 2012",201211,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Williams,880,2012-08-23T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Aug,8,23
"Fiscal Quarter 2, 2013",201306,2013,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),200304,BS 0220 APPHM 1F 800X/800,CA,Lemoore,1e3,2013-03-05T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Mar,3,5
"Fiscal Quarter 4, 2016",201611,2016,"613 (Merced, CA)",SALSAS CASTILLO SAPI DE CV. (CUS008604),SALSAS CASTILLO SAPI DE CV. (CUS008604),200350,BS 1200 APPHM 1F 800X/800,AZ,"Nogales, AZ",180,2016-08-16T00:00:00Z,1982 N. Smokey Lane,NA,85621,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Aug,8,16
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Los Banos,5780,2016-09-27T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,3e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,27
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),261794,BS 1200 APVHN 1F 5100/INSRT,CA,Los Banos,3725,2016-09-02T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,2
"Fiscal Quarter 4, 2017",201711,2017,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,WILLIAMS,800,2017-08-23T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,5e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Aug,8,23
"Fiscal Quarter 4, 2017",201712,2017,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Los Banos,1960,2017-09-29T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,1e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Sep,9,29
"Fiscal Quarter 4, 2017",201712,2017,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,63360,2017-09-15T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,80543,42500,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Sep,9,15
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,WILLIAMS,3200,2015-06-29T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,29
"Fiscal Quarter 3, 2016",201608,2016,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200301,BS 0220 APHM 1F 800X/800,IA,Muscatine,600,2016-05-09T00:00:00Z,1357 Isett Avenue,NA,52761-4521,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,May,5,9
"Fiscal Quarter 3, 2016",201609,2016,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",206463,BS 0012 AVHV 5100/5100/INSRT,CA,STOCKTON,3e3,2016-06-28T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,4e3,3680,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jun,6,28
"Fiscal Quarter 3, 2016",201609,2016,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Corcoran,3e3,2016-06-29T00:00:00Z,27905 Dairy Avenue,NA,93212,3e3,3200,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jun,6,29
"Fiscal Quarter 3, 2016",201609,2016,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",206463,BS 0012 AVHV 5100/5100/INSRT,CA,Buttonwillow,3e3,2016-06-29T00:00:00Z,36889 HWY 58,NA,93206-0515,3e3,3200,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jun,6,29
"Fiscal Quarter 3, 2016",201609,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,6840,2016-06-30T00:00:00Z,13448 Volta Road,NA,93635-9785,0,6480,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jun,6,30
"Fiscal Quarter 3, 2017",201708,2017,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Lemoore,7600,2017-06-01T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,4e3,2200,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jun,6,1
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),CONAGRA FOODS CANADA INC (CUS200423),200171,BG 0012 AHV 1700/1700/INS,ON,DRESDEN,630,2014-07-25T00:00:00Z,759 WELLINGTON STREET,NA,N0P 1M0,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),unknown,2014,Jul,7,25
"Fiscal Quarter 4, 2014",201410,2014,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),200171,BG 0012 AHV 1700/1700/INS,CA,Woodland,540,2014-07-09T00:00:00Z,1376 Lemon Avenue,NA,95776-3369,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jul,7,9
"Fiscal Quarter 4, 2014",201411,2014,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",200187,BG 0012 APHM 3400/3400,OH,OTTAWA,7500,2014-08-01T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Aug,8,1
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,35100,2014-09-22T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,74e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,22
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Lemoore,4800,2014-09-15T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,15
"Fiscal Quarter 4, 2015",201510,2015,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200301,BS 0220 APHM 1F 800X/800,IA,Muscatine,600,2015-07-20T00:00:00Z,1357 Isett Avenue,NA,52761-4521,210,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jul,7,20
"Fiscal Quarter 4, 2016",201611,2016,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),206463,BS 0012 AVHV 5100/5100/INSRT,CA,WILLIAMS,1500,2016-08-17T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,6e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Aug,8,17
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",201929,BS 1200 APHM 1F 5100/INS&CAP,CA,STOCKTON,3432,2016-09-15T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,5e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,15
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",206463,BS 0012 AVHV 5100/5100/INSRT,CA,Buttonwillow,3e3,2016-09-28T00:00:00Z,36889 HWY 58,NA,93206-0515,500,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,28
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,47160,2016-09-20T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,78e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,20
"Fiscal Quarter 4, 2016",201612,2016,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,WILLIAMS,2240,2016-09-17T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,-500,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Sep,9,17
"Fiscal Quarter 4, 2017",201710,2017,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,3500,2017-07-26T00:00:00Z,1357 Isett Avenue,NA,52761-4521,1e3,2e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jul,7,26
"Fiscal Quarter 4, 2017",201710,2017,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Corcoran,3e3,2017-07-05T00:00:00Z,27905 Dairy Avenue,NA,93212,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jul,7,5
"Fiscal Quarter 4, 2017",201710,2017,"613 (Merced, CA)","Mizkan Americas, Inc. (CUS009480)","Mizkan America, Inc. (CUS011122)",200357,BS 1200 APPHM 1F 1700/INS&CAP,CA,STOCKTON,5400,2017-07-11T00:00:00Z,1400 East Waterloo Road,NA,95205,8e3,12e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jul,7,11
"Fiscal Quarter 4, 2017",201710,2017,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Los Banos,15e3,2017-07-07T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,0,12e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jul,7,7
"Fiscal Quarter 4, 2018",201810,2018,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Lemoore,2800,2018-07-17T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,13462,12500,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jul,7,17
"Fiscal Quarter 4, 2018",201811,2018,"613 (Merced, CA)",CONAGRA (GPC000027),Conagra Grocery Products Company (CUS000613),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,OAKDALE,5621,2018-08-31T00:00:00Z,554 SOUTH YOSEMITE AVENUE,NA,95361,1303,6e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Aug,8,31
"Fiscal Quarter 4, 2018",201811,2018,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,6600,2018-08-17T00:00:00Z,25155 Ullrey Avenue,NA,95320,4800,4800,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Aug,8,17
